Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
995,53,Male,New York,Yes,20,Debit Card,Monthly
996,44,Male,Idaho,Yes,10,Venmo,Weekly
997,29,Male,Delaware,Yes,32,Bank Transfer,Quarterly
998,64,Male,Kentucky,Yes,31,Cash,Fortnightly
999,51,Male,Connecticut,Yes,48,Bank Transfer,Bi-Weekly
1000,50,Male,New Mexico,Yes,23,Debit Card,Monthly
1001,43,Male,Georgia,Yes,1,Bank Transfer,Bi-Weekly
1002,61,Male,Washington,Yes,4,Debit Card,Fortnightly
1003,55,Male,North Dakota,Yes,3,Bank Transfer,Bi-Weekly
1004,56,Male,Ohio,Yes,3,Cash,Bi-Weekly
1005,33,Male,Tennessee,Yes,44,Cash,Annually
1006,43,Male,New York,Yes,5,Debit Card,Bi-Weekly
1007,21,Male,Michigan,Yes,50,Venmo,Quarterly
1008,58,Male,Georgia,Yes,2,Credit Card,Annually
1009,41,Male,New Mexico,Yes,29,PayPal,Annually
1010,39,Male,Louisiana,Yes,11,Venmo,Annually
1011,54,Male,South Dakota,Yes,37,Credit Card,Fortnightly
1012,43,Male,Montana,Yes,32,Debit Card,Fortnightly
1013,28,Male,New Mexico,Yes,27,Credit Card,Annually
1014,59,Male,South Carolina,Yes,31,Venmo,Bi-Weekly
1015,28,Male,Ohio,Yes,36,Debit Card,Fortnightly
1016,68,Male,North Carolina,Yes,34,Cash,Weekly
1017,20,Male,Idaho,Yes,15,Bank Transfer,Every 3 Months
1018,21,Male,Oklahoma,Yes,14,Credit Card,Annually
1019,50,Male,Georgia,Yes,46,Cash,Weekly
1020,32,Male,Kentucky,Yes,33,Venmo,Bi-Weekly
1021,24,Male,Delaware,Yes,41,Debit Card,Annually
1022,55,Male,Massachusetts,Yes,39,PayPal,Weekly
1023,61,Male,Nebraska,Yes,7,Cash,Annually
1024,61,Male,Maine,Yes,29,Bank Transfer,Every 3 Months
1025,28,Male,Pennsylvania,Yes,18,Venmo,Quarterly
1026,60,Male,Nebraska,Yes,15,Credit Card,Annually
1027,49,Male,Virginia,Yes,39,PayPal,Bi-Weekly
1028,33,Male,Ohio,Yes,11,Cash,Monthly
1029,45,Male,Nebraska,Yes,4,Cash,Fortnightly
1030,29,Male,Ohio,Yes,33,Venmo,Bi-Weekly
1031,58,Male,Kentucky,Yes,37,Debit Card,Quarterly
1032,22,Male,Tennessee,Yes,32,Cash,Quarterly
1033,55,Male,Maine,Yes,44,Credit Card,Quarterly
1034,19,Male,Montana,Yes,41,Bank Transfer,Quarterly
1035,68,Male,Maryland,Yes,44,Bank Transfer,Weekly
1036,61,Male,Georgia,Yes,32,Venmo,Annually
1037,68,Male,Hawaii,Yes,13,Bank Transfer,Monthly
1038,52,Male,Rhode Island,Yes,48,Debit Card,Quarterly
1039,41,Male,Nebraska,Yes,3,Bank Transfer,Weekly
1040,29,Male,Michigan,Yes,39,Venmo,Monthly
1041,68,Male,North Carolina,Yes,7,Cash,Fortnightly
1042,36,Male,Minnesota,Yes,11,Cash,Fortnightly
1043,55,Male,Maryland,Yes,47,Credit Card,Weekly
1044,28,Male,Hawaii,Yes,28,Debit Card,Fortnightly
1045,39,Male,Oregon,Yes,17,Bank Transfer,Every 3 Months
1046,54,Male,New Mexico,Yes,11,PayPal,Bi-Weekly
1047,40,Male,Illinois,Yes,12,Venmo,Annually
1048,31,Male,Utah,Yes,7,Credit Card,Fortnightly
1049,30,Male,Maine,Yes,19,Venmo,Fortnightly
1050,45,Male,Virginia,Yes,24,Cash,Quarterly
1051,48,Male,Florida,Yes,19,Venmo,Monthly
1052,45,Male,Ohio,Yes,39,PayPal,Annually
1053,60,Male,Virginia,Yes,1,Credit Card,Fortnightly
1054,59,Male,Kansas,No,10,Debit Card,Bi-Weekly
1055,18,Male,Arkansas,No,48,PayPal,Quarterly
1056,70,Male,Massachusetts,No,24,Debit Card,Annually
1057,20,Male,Idaho,No,42,Venmo,Fortnightly
1058,65,Male,Wisconsin,No,20,Credit Card,Weekly
1059,29,Male,New Mexico,No,49,Bank Transfer,Every 3 Months
1060,22,Male,North Carolina,No,25,Debit Card,Monthly
1061,27,Male,Iowa,No,21,Debit Card,Every 3 Months
1062,36,Male,Idaho,No,12,Venmo,Every 3 Months
1063,59,Male,Ohio,No,21,Debit Card,Every 3 Months
1064,62,Male,Alabama,No,35,Cash,Monthly
1065,34,Male,Wyoming,No,42,Credit Card,Every 3 Months
1066,59,Male,Alabama,No,3,PayPal,Every 3 Months
1067,49,Male,Mississippi,No,11,PayPal,Bi-Weekly
1068,18,Male,Pennsylvania,No,22,PayPal,Quarterly
1069,55,Male,Wyoming,No,47,Credit Card,Weekly
1070,38,Male,Maryland,No,33,Venmo,Every 3 Months
1071,50,Male,North Carolina,No,50,Debit Card,Weekly
1072,61,Male,Pennsylvania,No,46,Credit Card,Monthly
1073,48,Male,Idaho,No,34,Debit Card,Fortnightly
1074,22,Male,California,No,33,Credit Card,Monthly
1075,48,Male,Tennessee,No,45,Bank Transfer,Fortnightly
1076,57,Male,Missouri,No,32,Debit Card,Bi-Weekly
1077,33,Male,North Dakota,No,47,Venmo,Bi-Weekly
1078,58,Male,West Virginia,No,5,PayPal,Quarterly
1079,37,Male,Arizona,No,49,Credit Card,Fortnightly
1080,18,Male,Oklahoma,No,48,Bank Transfer,Monthly
1081,65,Male,Pennsylvania,No,22,Cash,Every 3 Months
1082,62,Male,Idaho,No,45,Credit Card,Annually
1083,54,Male,South Carolina,No,30,Venmo,Quarterly
1084,35,Male,Washington,No,43,Cash,Weekly
1085,34,Male,Arkansas,No,48,Cash,Quarterly
1086,25,Male,Utah,No,23,Venmo,Fortnightly
1087,53,Male,Alaska,No,27,PayPal,Bi-Weekly
1088,45,Male,West Virginia,No,7,Bank Transfer,Monthly
1089,49,Male,Louisiana,No,2,PayPal,Weekly
1090,40,Male,Arizona,No,33,PayPal,Bi-Weekly
1091,38,Male,Connecticut,No,27,Cash,Fortnightly
1092,44,Male,North Carolina,No,6,Credit Card,Fortnightly
1093,68,Male,South Dakota,No,20,Venmo,Quarterly
1094,60,Male,Delaware,No,46,Venmo,Every 3 Months
1095,25,Male,Connecticut,No,25,Cash,Quarterly
1096,19,Male,Tennessee,No,30,Bank Transfer,Quarterly
1097,57,Male,New Hampshire,No,48,Credit Card,Annually
1098,58,Male,Vermont,No,47,Bank Transfer,Weekly
1099,49,Male,Idaho,No,27,Credit Card,Weekly
1100,19,Male,North Carolina,No,45,Bank Transfer,Fortnightly
1101,50,Male,Nevada,No,2,Credit Card,Weekly
1102,30,Male,Delaware,No,39,Cash,Fortnightly
1103,52,Male,Texas,No,24,Cash,Fortnightly
1104,35,Male,Tennessee,No,8,Debit Card,Bi-Weekly
1105,35,Male,Delaware,No,8,Bank Transfer,Quarterly
1106,33,Male,Massachusetts,No,6,Venmo,Every 3 Months
1107,52,Male,Minnesota,No,12,Venmo,Fortnightly
1108,69,Male,Texas,No,26,Bank Transfer,Weekly
1109,27,Male,Nebraska,No,50,Cash,Fortnightly
1110,66,Male,Oklahoma,No,2,Venmo,Weekly
1111,28,Male,Texas,No,31,Cash,Bi-Weekly
1112,22,Male,New York,No,4,Credit Card,Bi-Weekly
1113,69,Male,Washington,No,32,PayPal,Quarterly
1114,28,Male,Maryland,No,11,PayPal,Bi-Weekly
1115,55,Male,New Hampshire,No,47,Bank Transfer,Every 3 Months
1116,30,Male,New York,No,37,Cash,Weekly
1117,67,Male,Hawaii,No,39,PayPal,Fortnightly
1118,25,Male,California,No,24,Credit Card,Monthly
1119,49,Male,Indiana,No,11,PayPal,Every 3 Months
1120,34,Male,Louisiana,No,36,Credit Card,Weekly
1121,22,Male,Pennsylvania,No,40,Debit Card,Monthly
1122,63,Male,Florida,No,25,Cash,Quarterly
1123,70,Male,North Carolina,No,12,Credit Card,Annually
1124,36,Male,Massachusetts,No,38,Cash,Monthly
1125,42,Male,Iowa,No,40,Cash,Quarterly
1126,27,Male,North Dakota,No,10,Bank Transfer,Weekly
1127,23,Male,Iowa,No,47,Venmo,Fortnightly
1128,50,Male,Delaware,No,22,Debit Card,Monthly
1129,56,Male,New York,No,35,Debit Card,Monthly
1130,37,Male,New Hampshire,No,46,Venmo,Fortnightly
1131,67,Male,Kentucky,No,30,PayPal,Bi-Weekly
1132,67,Male,Illinois,No,20,Bank Transfer,Monthly
1133,50,Male,North Carolina,No,25,Cash,Fortnightly
1134,36,Male,Connecticut,No,29,Cash,Weekly
1135,62,Male,Wisconsin,No,2,Venmo,Every 3 Months
1136,65,Male,Massachusetts,No,32,Bank Transfer,Quarterly
1137,23,Male,Illinois,No,37,Cash,Monthly
1138,46,Male,New Mexico,No,16,Bank Transfer,Every 3 Months
1139,18,Male,Iowa,No,32,Venmo,Fortnightly
1140,58,Male,Alabama,No,42,Debit Card,Bi-Weekly
1141,31,Male,Maryland,No,6,Credit Card,Every 3 Months
1142,39,Male,Ohio,No,23,PayPal,Fortnightly
1143,69,Male,Ohio,No,27,Venmo,Bi-Weekly
1144,68,Male,Nevada,No,43,PayPal,Quarterly
1145,41,Male,South Carolina,No,25,Bank Transfer,Fortnightly
1146,31,Male,Nevada,No,30,Cash,Every 3 Months
1147,48,Male,Wisconsin,No,7,Bank Transfer,Every 3 Months
1148,59,Male,Tennessee,No,17,Debit Card,Annually
1149,34,Male,Florida,No,10,PayPal,Fortnightly
1150,21,Male,Georgia,No,40,Venmo,Annually
1151,29,Male,Kentucky,No,50,Venmo,Bi-Weekly
1152,41,Male,Ohio,No,24,Credit Card,Weekly
1153,62,Male,Connecticut,No,8,PayPal,Every 3 Months
1154,27,Male,Idaho,No,6,Bank Transfer,Quarterly
1155,49,Male,Georgia,No,44,Credit Card,Bi-Weekly
1156,67,Male,Tennessee,No,47,PayPal,Quarterly
1157,20,Male,Hawaii,No,6,Venmo,Every 3 Months
1158,37,Male,Maryland,No,11,Cash,Quarterly
1159,69,Male,Nevada,No,41,Bank Transfer,Annually
1160,66,Male,New Hampshire,No,46,Venmo,Every 3 Months
1161,37,Male,North Dakota,No,9,Venmo,Bi-Weekly
1162,63,Male,Oklahoma,No,37,PayPal,Monthly
1163,47,Male,North Carolina,No,13,PayPal,Weekly
1164,26,Male,Tennessee,No,24,Debit Card,Monthly
1165,68,Male,Montana,No,47,PayPal,Quarterly
1166,51,Male,Wisconsin,No,21,Venmo,Every 3 Months
1167,48,Male,Connecticut,No,22,Venmo,Fortnightly
1168,60,Male,New Jersey,No,16,PayPal,Quarterly
1169,68,Male,Mississippi,No,37,Debit Card,Fortnightly
1170,25,Male,Wyoming,No,3,Cash,Annually
1171,57,Male,Illinois,No,33,Cash,Bi-Weekly
1172,41,Male,Louisiana,No,15,Debit Card,Annually
1173,59,Male,Oregon,No,42,Bank Transfer,Bi-Weekly
1174,44,Male,South Dakota,No,42,Cash,Bi-Weekly
1175,42,Male,Michigan,No,19,Bank Transfer,Bi-Weekly
1176,35,Male,New Jersey,No,26,PayPal,Quarterly
1177,36,Male,Oregon,No,39,PayPal,Quarterly
1178,54,Male,Iowa,No,24,Debit Card,Monthly
1179,37,Male,South Carolina,No,23,Debit Card,Annually
1180,20,Male,Indiana,No,44,Bank Transfer,Annually
1181,23,Male,Oregon,No,34,Cash,Monthly
1182,61,Male,New York,No,43,Bank Transfer,Quarterly
1183,37,Male,New Mexico,No,45,PayPal,Quarterly
1184,23,Male,Louisiana,No,4,Credit Card,Weekly
1185,63,Male,South Carolina,No,19,Credit Card,Annually
1186,47,Male,Maine,No,29,Credit Card,Monthly
1187,63,Male,Indiana,No,27,Credit Card,Annually
1188,56,Male,Iowa,No,37,Credit Card,Every 3 Months
1189,68,Male,Mississippi,No,11,Credit Card,Weekly
1190,64,Male,Arkansas,No,28,Debit Card,Annually
1191,62,Male,South Carolina,No,31,Credit Card,Weekly
1192,34,Male,Indiana,No,50,Venmo,Quarterly
1193,49,Male,Florida,No,42,Venmo,Quarterly
1194,40,Male,Alaska,No,18,Credit Card,Fortnightly
1195,50,Male,New York,No,6,Credit Card,Fortnightly
1196,25,Male,Texas,No,33,Venmo,Monthly
1197,30,Male,North Dakota,No,13,Bank Transfer,Bi-Weekly
1198,54,Male,Vermont,No,26,PayPal,Annually
1199,40,Male,New Jersey,No,17,Cash,Annually
1200,49,Male,Maryland,No,3,Debit Card,Weekly
1201,27,Male,Connecticut,No,7,PayPal,Weekly
1202,27,Male,Illinois,No,46,Venmo,Fortnightly
1203,48,Male,Maryland,No,14,Venmo,Every 3 Months
1204,40,Male,Minnesota,No,23,Bank Transfer,Annually
1205,67,Male,Florida,No,20,Credit Card,Every 3 Months
1206,52,Male,California,No,38,Bank Transfer,Fortnightly
1207,22,Male,Mississippi,No,16,Venmo,Every 3 Months
1208,62,Male,Washington,No,48,Credit Card,Every 3 Months
1209,20,Male,Wisconsin,No,8,Debit Card,Annually
1210,41,Male,Pennsylvania,No,16,Bank Transfer,Monthly
1211,34,Male,Missouri,No,5,Cash,Quarterly
1212,23,Male,Oklahoma,No,14,Venmo,Every 3 Months
1213,32,Male,Pennsylvania,No,18,Credit Card,Weekly
1214,68,Male,Kentucky,No,14,Debit Card,Every 3 Months
1215,30,Male,Vermont,No,5,Cash,Every 3 Months
1216,66,Male,Oregon,No,15,Credit Card,Every 3 Months
1217,62,Male,Utah,No,3,Venmo,Every 3 Months
1218,50,Male,Nebraska,No,12,Cash,Every 3 Months
1219,55,Male,Pennsylvania,No,43,Cash,Every 3 Months
1220,19,Male,Vermont,No,35,Credit Card,Bi-Weekly
1221,67,Male,Kentucky,No,36,Bank Transfer,Quarterly
1222,18,Male,Iowa,No,3,Cash,Quarterly
1223,58,Male,Indiana,No,27,Bank Transfer,Annually
1224,69,Male,Kansas,No,21,Bank Transfer,Weekly
1225,62,Male,Illinois,No,18,Venmo,Weekly
1226,28,Male,North Carolina,No,16,Debit Card,Weekly
1227,53,Male,Ohio,No,18,Venmo,Bi-Weekly
1228,27,Male,Illinois,No,19,Bank Transfer,Bi-Weekly
1229,55,Male,Indiana,No,1,Cash,Annually
1230,34,Male,Kansas,No,39,Bank Transfer,Annually
1231,25,Male,Illinois,No,49,Venmo,Monthly
1232,66,Male,Pennsylvania,No,43,Credit Card,Fortnightly
1233,57,Male,New York,No,31,Debit Card,Every 3 Months
1234,46,Male,Utah,No,40,Venmo,Every 3 Months
1235,38,Male,New Jersey,No,2,Bank Transfer,Bi-Weekly
1236,23,Male,Idaho,No,46,PayPal,Every 3 Months
1237,42,Male,New Mexico,No,35,Debit Card,Every 3 Months
1238,25,Male,Michigan,No,42,Credit Card,Quarterly
1239,55,Male,Wyoming,No,3,Venmo,Fortnightly
1240,62,Male,New Jersey,No,32,Debit Card,Every 3 Months
1241,41,Male,New Jersey,No,48,Debit Card,Annually
1242,58,Male,Hawaii,No,34,Credit Card,Weekly
1243,56,Male,Nevada,No,15,Bank Transfer,Quarterly
1244,25,Male,New Hampshire,No,22,Debit Card,Annually
1245,70,Male,Indiana,No,2,Cash,Monthly
1246,42,Male,New York,No,30,Bank Transfer,Weekly
1247,27,Male,Louisiana,No,27,Cash,Monthly
1248,65,Male,Virginia,No,18,Venmo,Bi-Weekly
1249,62,Male,Wisconsin,No,8,Credit Card,Annually
1250,62,Male,Oregon,No,48,Venmo,Fortnightly
1251,52,Male,New Hampshire,No,24,Cash,Monthly
1252,56,Male,Indiana,No,43,Credit Card,Monthly
1253,28,Male,Massachusetts,No,8,Cash,Quarterly
1254,39,Male,Montana,No,49,PayPal,Annually
1255,54,Male,California,No,2,Credit Card,Bi-Weekly
1256,30,Male,Indiana,No,38,Cash,Fortnightly
1257,45,Male,West Virginia,No,4,Cash,Fortnightly
1258,68,Male,Minnesota,No,31,Cash,Every 3 Months
1259,47,Male,Ohio,No,34,Debit Card,Every 3 Months
1260,68,Male,Minnesota,No,45,Credit Card,Monthly
1261,63,Male,Virginia,No,30,Debit Card,Quarterly
1262,20,Male,Connecticut,No,2,Credit Card,Fortnightly
1263,29,Male,Tennessee,No,44,Venmo,Monthly
1264,41,Male,Delaware,No,1,Credit Card,Bi-Weekly
1265,52,Male,Vermont,No,1,Venmo,Bi-Weekly
1266,32,Male,Louisiana,No,27,Bank Transfer,Weekly
1267,20,Male,North Dakota,No,14,Debit Card,Every 3 Months
1268,47,Male,Oregon,No,41,Cash,Weekly
1269,23,Male,Idaho,No,25,Debit Card,Bi-Weekly
1270,43,Male,Vermont,No,47,PayPal,Quarterly
1271,67,Male,West Virginia,No,20,Cash,Annually
1272,70,Male,Kentucky,No,42,PayPal,Annually
1273,35,Male,Wisconsin,No,16,Bank Transfer,Monthly
1274,41,Male,Mississippi,No,32,Credit Card,Every 3 Months
1275,54,Male,Missouri,No,37,PayPal,Quarterly
1276,55,Male,Arkansas,No,1,PayPal,Monthly
1277,51,Male,Wyoming,No,37,Bank Transfer,Weekly
1278,19,Male,Rhode Island,No,5,Venmo,Quarterly
1279,28,Male,Utah,No,31,Venmo,Fortnightly
1280,63,Male,Maryland,No,18,Debit Card,Annually
1281,30,Male,Georgia,No,39,Venmo,Every 3 Months
1282,29,Male,New Jersey,No,8,Venmo,Bi-Weekly
1283,24,Male,New Hampshire,No,20,Venmo,Monthly
1284,69,Male,Oregon,No,23,Debit Card,Every 3 Months
1285,65,Male,Arkansas,No,38,PayPal,Fortnightly
1286,64,Male,North Carolina,No,45,Bank Transfer,Fortnightly
1287,40,Male,West Virginia,No,44,Debit Card,Fortnightly
1288,24,Male,Utah,No,20,PayPal,Monthly
1289,66,Male,South Dakota,No,34,PayPal,Bi-Weekly
1290,35,Male,New Hampshire,No,10,PayPal,Weekly
1291,67,Male,Maryland,No,3,PayPal,Annually
1292,69,Male,South Dakota,No,23,Debit Card,Fortnightly
1293,26,Male,Kentucky,No,42,Bank Transfer,Annually
1294,23,Male,Florida,No,30,Debit Card,Annually
1295,27,Male,Texas,No,21,Cash,Every 3 Months
1296,30,Male,New Mexico,No,50,PayPal,Weekly
1297,48,Male,South Dakota,No,16,Cash,Bi-Weekly
1298,44,Male,New Jersey,No,32,Venmo,Annually
1299,29,Male,Indiana,No,14,Bank Transfer,Fortnightly
1300,29,Male,Louisiana,No,42,Venmo,Bi-Weekly
1301,67,Male,West Virginia,No,47,Credit Card,Every 3 Months
1302,42,Male,Maine,No,21,Debit Card,Weekly
1303,23,Male,Idaho,No,37,Credit Card,Monthly
1304,34,Male,New York,No,10,Credit Card,Annually
1305,64,Male,Montana,No,18,PayPal,Every 3 Months
1306,31,Male,Mississippi,No,2,PayPal,Every 3 Months
1307,54,Male,Alaska,No,40,PayPal,Annually
1308,23,Male,Missouri,No,43,PayPal,Annually
1309,59,Male,Rhode Island,No,14,Credit Card,Every 3 Months
1310,32,Male,Hawaii,No,41,Cash,Quarterly
1311,43,Male,South Carolina,No,38,Credit Card,Every 3 Months
1312,32,Male,Tennessee,No,12,Venmo,Annually
1313,66,Male,Missouri,No,19,Bank Transfer,Monthly
1314,70,Male,Missouri,No,23,Credit Card,Bi-Weekly
1315,42,Male,Missouri,No,49,Debit Card,Annually
1316,56,Male,Mississippi,No,29,Debit Card,Quarterly
1317,28,Male,Arkansas,No,14,Debit Card,Bi-Weekly
1318,28,Male,Kentucky,No,19,Cash,Monthly
1319,52,Male,Connecticut,No,19,Credit Card,Bi-Weekly
1320,65,Male,Oklahoma,No,48,Bank Transfer,Weekly
1321,56,Male,California,No,19,Debit Card,Annually
1322,59,Male,Missouri,No,45,Bank Transfer,Every 3 Months
1323,23,Male,Washington,No,17,Bank Transfer,Quarterly
1324,58,Male,New York,No,15,Debit Card,Every 3 Months
1325,39,Male,Indiana,No,11,Credit Card,Fortnightly
1326,28,Male,Oregon,No,1,Cash,Monthly
1327,40,Male,Texas,No,17,Cash,Monthly
1328,52,Male,Florida,No,37,Cash,Weekly
1329,37,Male,Rhode Island,No,40,Bank Transfer,Weekly
1330,70,Male,Texas,No,50,PayPal,Every 3 Months
1331,30,Male,Vermont,No,20,PayPal,Bi-Weekly
1332,38,Male,Maryland,No,8,PayPal,Bi-Weekly
1333,66,Male,Alaska,No,16,Bank Transfer,Quarterly
1334,29,Male,Idaho,No,9,Bank Transfer,Quarterly
1335,46,Male,West Virginia,No,12,Venmo,Monthly
1336,56,Male,Nevada,No,26,Credit Card,Weekly
1337,23,Male,Oregon,No,44,Debit Card,Fortnightly
1338,37,Male,Tennessee,No,19,Credit Card,Bi-Weekly
1339,56,Male,Alabama,No,43,PayPal,Fortnightly
1340,36,Male,Indiana,No,5,Bank Transfer,Every 3 Months
1341,40,Male,Idaho,No,5,Debit Card,Every 3 Months
1342,26,Male,Rhode Island,No,31,Bank Transfer,Quarterly
1343,57,Male,Arizona,No,11,Bank Transfer,Monthly
1344,68,Male,Florida,No,34,Bank Transfer,Monthly
1345,56,Male,New York,No,14,Cash,Annually
1346,40,Male,Nebraska,No,42,Venmo,Weekly
1347,44,Male,Mississippi,No,15,Venmo,Bi-Weekly
1348,44,Male,Vermont,No,47,Bank Transfer,Monthly
1349,19,Male,Nebraska,No,23,Credit Card,Fortnightly
1350,21,Male,South Carolina,No,23,Cash,Bi-Weekly
1351,31,Male,Delaware,No,1,Cash,Every 3 Months
1352,30,Male,Vermont,No,28,Bank Transfer,Quarterly
1353,65,Male,Indiana,No,37,Credit Card,Bi-Weekly
1354,39,Male,Oregon,No,4,Cash,Every 3 Months
1355,64,Male,Maryland,No,21,Bank Transfer,Quarterly
1356,59,Male,Florida,No,50,PayPal,Bi-Weekly
1357,49,Male,Indiana,No,34,Bank Transfer,Annually
1358,24,Male,Texas,No,20,Cash,Quarterly
1359,19,Male,Nebraska,No,25,Venmo,Every 3 Months
1360,27,Male,North Carolina,No,26,Bank Transfer,Fortnightly
1361,56,Male,Alabama,No,4,Bank Transfer,Annually
1362,49,Male,Alabama,No,39,Debit Card,Monthly
1363,41,Male,Colorado,No,29,Cash,Weekly
1364,36,Male,Wisconsin,No,47,PayPal,Quarterly
1365,68,Male,Delaware,No,5,Cash,Every 3 Months
1366,28,Male,Indiana,No,18,Bank Transfer,Fortnightly
1367,45,Male,Iowa,No,10,Credit Card,Fortnightly
1368,60,Male,Iowa,No,25,Cash,Quarterly
1369,21,Male,Wisconsin,No,2,Cash,Weekly
1370,32,Male,Iowa,No,48,Venmo,Fortnightly
1371,27,Male,Montana,No,41,Bank Transfer,Every 3 Months
1372,40,Male,Mississippi,No,42,Credit Card,Monthly
1373,64,Male,Michigan,No,44,PayPal,Bi-Weekly
1374,18,Male,Virginia,No,6,Cash,Quarterly
1375,22,Male,New York,No,5,Bank Transfer,Quarterly
1376,42,Male,Maine,No,8,Credit Card,Annually
1377,57,Male,New Jersey,No,24,PayPal,Annually
1378,33,Male,Maryland,No,42,Venmo,Monthly
1379,37,Male,Kentucky,No,24,Venmo,Weekly
1380,21,Male,Minnesota,No,38,Venmo,Bi-Weekly
1381,51,Male,Massachusetts,No,41,Cash,Fortnightly
1382,30,Male,Illinois,No,48,Venmo,Quarterly
1383,68,Male,Michigan,No,16,Bank Transfer,Quarterly
1384,36,Male,Wisconsin,No,4,Venmo,Monthly
1385,46,Male,Alaska,No,8,Bank Transfer,Weekly
1386,41,Male,Mississippi,No,1,Bank Transfer,Bi-Weekly
1387,68,Male,Oregon,No,4,Debit Card,Quarterly
1388,21,Male,Maryland,No,20,Credit Card,Monthly
1389,62,Male,Arkansas,No,40,Cash,Quarterly
1390,59,Male,Illinois,No,8,Debit Card,Fortnightly
1391,25,Male,Arkansas,No,42,Debit Card,Weekly
1392,53,Male,Mississippi,No,38,Credit Card,Annually
1393,31,Male,Arkansas,No,34,Venmo,Every 3 Months
1394,46,Male,Idaho,No,14,PayPal,Fortnightly
1395,26,Male,Iowa,No,39,Cash,Weekly
1396,47,Male,West Virginia,No,40,PayPal,Bi-Weekly
1397,37,Male,Wisconsin,No,49,Debit Card,Monthly
1398,55,Male,Massachusetts,No,33,PayPal,Annually
1399,30,Male,Texas,No,25,Credit Card,Weekly
1400,19,Male,Nebraska,No,48,Venmo,Annually
1401,36,Male,Nevada,No,22,Credit Card,Every 3 Months
1402,23,Male,Indiana,No,1,PayPal,Weekly
1403,62,Male,North Dakota,No,47,PayPal,Monthly
1404,26,Male,Georgia,No,20,Credit Card,Bi-Weekly
1405,36,Male,New Mexico,No,10,Debit Card,Weekly
1406,33,Male,New Hampshire,No,39,Credit Card,Monthly
1407,32,Male,Washington,No,15,Debit Card,Monthly
1408,56,Male,Nevada,No,11,Credit Card,Annually
1409,58,Male,Maine,No,38,Venmo,Weekly
1410,34,Male,Idaho,No,41,Cash,Fortnightly
1411,61,Male,Tennessee,No,18,Debit Card,Annually
1412,48,Male,Louisiana,No,13,Venmo,Quarterly
1413,25,Male,Michigan,No,43,Venmo,Annually
1414,51,Male,New Hampshire,No,12,Bank Transfer,Quarterly
1415,29,Male,Minnesota,No,3,Credit Card,Bi-Weekly
1416,54,Male,Illinois,No,12,Credit Card,Every 3 Months
1417,48,Male,Idaho,No,46,Cash,Quarterly
1418,62,Male,Montana,No,21,Debit Card,Fortnightly
1419,18,Male,Alabama,No,23,Venmo,Every 3 Months
1420,43,Male,Montana,No,4,Debit Card,Quarterly
1421,22,Male,California,No,45,PayPal,Every 3 Months
1422,68,Male,Pennsylvania,No,24,Bank Transfer,Fortnightly
1423,44,Male,Texas,No,3,PayPal,Bi-Weekly
1424,51,Male,Michigan,No,12,Venmo,Every 3 Months
1425,66,Male,Connecticut,No,34,Bank Transfer,Every 3 Months
1426,59,Male,Wyoming,No,39,Credit Card,Annually
1427,60,Male,Michigan,No,35,PayPal,Every 3 Months
1428,31,Male,South Dakota,No,8,Credit Card,Annually
1429,20,Male,North Dakota,No,42,PayPal,Quarterly
1430,24,Male,Maryland,No,6,Credit Card,Every 3 Months
1431,48,Male,Michigan,No,3,Credit Card,Fortnightly
1432,39,Male,South Dakota,No,29,Venmo,Quarterly
1433,34,Male,Florida,No,32,Debit Card,Quarterly
1434,70,Male,Minnesota,No,45,Debit Card,Weekly
1435,59,Male,New York,No,21,Debit Card,Bi-Weekly
1436,45,Male,Oregon,No,41,Cash,Weekly
1437,35,Male,Minnesota,No,23,PayPal,Fortnightly
1438,69,Male,Montana,No,14,Cash,Annually
1439,58,Male,Washington,No,24,Debit Card,Monthly
1440,25,Male,New Mexico,No,25,Cash,Fortnightly
1441,27,Male,Arizona,No,13,Venmo,Monthly
1442,34,Male,Nebraska,No,3,Venmo,Every 3 Months
1443,53,Male,Idaho,No,42,Credit Card,Annually
1444,58,Male,Idaho,No,2,Cash,Monthly
1445,32,Male,Vermont,No,26,Cash,Quarterly
1446,64,Male,Arkansas,No,24,Credit Card,Annually
1447,63,Male,Wyoming,No,6,Credit Card,Quarterly
1448,23,Male,New Mexico,No,25,PayPal,Monthly
1449,64,Male,West Virginia,No,11,Credit Card,Every 3 Months
1450,18,Male,New York,No,20,Cash,Every 3 Months
1451,25,Male,Illinois,No,25,Cash,Quarterly
1452,54,Male,Utah,No,35,PayPal,Quarterly
1453,60,Male,Colorado,No,11,Bank Transfer,Quarterly
1454,36,Male,Virginia,No,41,Bank Transfer,Fortnightly
1455,66,Male,Georgia,No,17,Credit Card,Annually
1456,60,Male,Alabama,No,1,PayPal,Every 3 Months
1457,59,Male,Montana,No,30,PayPal,Every 3 Months
1458,58,Male,Pennsylvania,No,47,Venmo,Fortnightly
1459,35,Male,Missouri,No,34,Venmo,Weekly
1460,20,Male,Maine,No,18,Venmo,Fortnightly
1461,70,Male,Pennsylvania,No,33,Venmo,Bi-Weekly
1462,54,Male,Oregon,No,42,Venmo,Quarterly
1463,38,Male,Utah,No,2,Venmo,Quarterly
1464,54,Male,Oklahoma,No,1,Bank Transfer,Monthly
